who,category,sentences
Client: ,Sexist, em  pulling out page   of the sun newspaper   em 
Client: ,Sexist,are you some sort of faggot 
Client,Sexist,  i d like you to update the site again  as payment  you can have sex with my wife once a week  
Client: ,Sexist,every time i turn a page of the book i m transcribing  these random characters appear  i m tired of having to delete those 
Me:,Sexist, alright  since your editors aren t really tech savvy  how about we use wordpress  it has a very easy to operate back end 
Client:,Sexist, wait  you re not actually making a website  if i wanted to just use a program  i could do it myself  
Client: ,Sexist,i m paying you everything right away so we don t have hassles  i know how you women can get when anything is even a little late 
Client: ,Sexist, stopping mid sentence  wow  you smell amazing  it makes 
Client: ,Sexist,i look great  is there any way you can make 
Client:,Sexist, why did you make my breasts so big   i look like a bimbo 
Client:,Sexist, sorry for the confusion  the first draft is fine  my husband decided to answer my emails for me 
Client:,Sexist, it just stopped working 
Client:,Sexist, but you can still fix it  right 
Me:,Sexist, so here is my quote for the cocktail gown that we discussed last week 
Client:,Sexist, thanks  i understand the lines for fabric and other material  but what is the last line about 
Me:,Sexist, that s for my design work and the time necessary to stitch and build the gown 
Client:,Sexist, i don t understand  how does that account for that sum of money 
Me:,Sexist, based on our initial conversation and preliminary design  i estimated x hours of work 
Client:,Sexist, you charge money for drawing designs 
Me:,Sexist, yes 
Client:,Sexist, i don t get it  
Client: ,Sexist, and yes  my business is too important to me to discuss it in some  nasty  noisy  public  coffee shop  
Me:,Sexist, your artwork is currently set up using pantone colors     c  maroon  and    c  gold  as embedded in your logo  we print in cmyk  but we can color match to those colors 
Client:,Sexist, i would prefer to use 
Client:,Sexist, do you think we can meet 
Me:,Sexist, sure  i m available after     pm 
Client:,Sexist, okay  come by to my house at     pm 
Me:,Sexist, i said i m available after     pm 
Client:,Sexist, okay  well  why don t you come to my house at     pm  and then i ll drive you home 
Me:,Sexist, i think we better meet at a middle point  let s say the coffee shop around the subway station  it ll have to be after     pm 
Client:,Sexist, okay  sounds good  i ll pick you up at the coffee shop and we can come to my house 
Me:,Sexist, sorry  but i have to ask   why do you want me to come to your house 
Client:,Sexist,   i ll call you next week to 
Client:,Sexist, we like the animation  but we re afraid that the female character may make it seem like we re talking down to women  could you make it a male character   a male who is goofy but loveable 
Me:,Sexist, aren t you afraid that you will be making fun of men 
Client:,Sexist, no  
Client: ,Sexist,i need it to 
Me:,Sexist, to be clear  when you say arouse the customer s attention  
Client: ,Sexist,i mean  if they got an erection  the ad is doing its job 
Me:,Sexist, got it  
Client:,Sexist, but while i have you here  any interest in hearing about a sort of side project 
Me:,Sexist, of course  
Cilent: ,Sexist,obviously it s a risqu  project  but is there any way you can 
Client:,Sexist, 
Client:,Sexist, i want sasha grey  do you know her  sasha grey  
Me:,Sexist, wait  are you serious 
Client:,Sexist, don t argue with me  i want her for this project 
Me:,Sexist, i don t think she s a good pick for this  there s this really great girl with ford models you should look at  why don t i show you her portfolio 
Client:,Sexist, no  i want sasha 
Me:,Sexist, what if she s out of our budget 
Client:,Sexist, i ll pay for it  don t forget to get her  
Client: ,Sexist,this is good  i just can t believe you let this guy s a   
Me:,Sexist, excuse me 
Client:,Sexist, that guys a    it s all people will look at 
Me: ,Sexist,would you like me to replace the shot 
Client:,Sexist, no  i like it  but can you make it smaller 
Me: ,Sexist,make what smaller 
Client,Sexist,  that guy s a   
Me: ,Sexist,i can cut the clip s duration a little shorter  and add in another clip  though i would really suggest just replacing it 
Client: ,Sexist,no  nevermind  i ll call him about his a   and we ll see what we can work out  
Client:,Sexist, 
Me:,Sexist, why your website  are you sure the students will be able to read it  let alone be taking note of it while they re  you know 
Client:,Sexist, right  don t put my website on  it s too big  i always have this problem with condoms 
Client:,Cryptic, can you design birthday tags  for candies 
Me:,Cryptic, sure  what s the theme 
Client:,Cryptic, like this one  i want    tags  how much is it 
Me:,Cryptic, what s the tag size 
Client:,Cryptic, i don t know  make it like the one in the picture 
Me:,Cryptic, sure  but i can t tell the size from the picture  can you measure it 
Client:,Cryptic, oh  it s small 
Me:,Cryptic,     okay   cm 
Client:,Cryptic, i don t know  like the size of a fridge magnet 
Me:,Cryptic,    
Client: ,Cryptic,i am looking for a simple but complex site  
Client: ,Cryptic,we need to reselect the bathroom floors 
Me: ,Cryptic,why 
Client: ,Cryptic,we re installing next week and it won t be here for four weeks 
Client: ,Cryptic,we also need to reselect the foyer material 
Me: ,Cryptic,ok  why 
Client: ,Cryptic,there s only six pieces in the country  we need seven  and it won t be here for six weeks  we also need to reselect the kitchen counters  they won t be here for eight weeks 
Me: ,Cryptic,we specified these six months ago  why will they not be there for eight weeks 
Client:,Cryptic, i need a banner with my podcast logo on it and a caricature of me in the lower left  gonna use it for my  streaming service  videos 
Me:,Cryptic, no problem  how big is the banner going to be and do you know who will be printing it 
Client:,Cryptic, uh  i have no idea  let me measure 
Me:,Cryptic, ok  while you re doing that  can you forward me a picture of yourself i can use for reference when i draw you 
Me:,Cryptic, so if i m going to be drawing your face  i d like to be able to see your face 
Client:,Cryptic, oh yeah  haha  that makes sense  just a minute 
Client:,Cryptic, ugh  i look so old in this  why did you draw me with a scruffy beard  also i m famous for my smile  why aren t i smiling 
Me:,Cryptic,    ok  please send me a picture of you shaved and smiling then  did you get that info i asked for yet 
Client:,Cryptic, they said to just send a pdf 
Me:,Cryptic,    what size  and who is printing it 
Client:,Cryptic, i dunno  i didn t measure yet  let me get back to you 
Client:,Cryptic, it looks alright i guess  but where s the hat and sunglasses  i m famous for my hat and sunglasses  also there should be a microphone over my mouth 
Me (internally):,Cryptic, 
Me:,Cryptic, ok i ll get those added  did you get the measurements 
Client:,Cryptic, yeah  they said to just send a pdf 
Me:,Cryptic, who said this  and what size should i format the pdf 
Client:,Cryptic, i dunno  what s a good size you think 
Me:,Cryptic, you tell me  you re the one that has to frame the shot for the video 
Client:,Cryptic, good point  let me do some measurements 
Client:,Cryptic, ok  this looks cool  love it  the banner should be   feet tall  four feet wide 
Client:,Cryptic, they said you were supposed to use their template  also you didn t add my  local sports team  hoodie to the caricature  i m famous for that  how fast can you fix this 
Me:,Cryptic, 
Client: ,Cryptic,if it could not be exactly the same and stand out as it is slightly different  so the same style but jazzier 
Client:,Cryptic, we would love to work with you and love your style and 
Client:,Cryptic, so   we looked at your designs and we just don t like them  
