level_0,index,0,1,2,Client_split
0,0,Client: ,<em>(pulling out Page 3 of The Sun newspaper)</em>,Sexist, em  pulling out page   of the sun newspaper   em 
1,1,Client: ,Are you some sort of faggot?,Sexist,are you some sort of faggot 
2,2,Client,": I’d like you to update the site again. As payment, you can have sex with my wife once a week. ",Sexist,  i d like you to update the site again  as payment  you can have sex with my wife once a week  
3,0,Client: ,"Every time I turn a page of the book I’m transcribing, these random characters appear. I’m tired of having to delete those.",Sexist,every time i turn a page of the book i m transcribing  these random characters appear  i m tired of having to delete those 
4,1,Me:," Alright, since your editors aren’t really tech savvy, how about we use Wordpress, it has a very easy-to-operate back end.",Sexist, alright  since your editors aren t really tech savvy  how about we use wordpress  it has a very easy to operate back end 
5,2,Client:," Wait, you’re not actually making a website? If I wanted to just use a program, I could do it myself! ",Sexist, wait  you re not actually making a website  if i wanted to just use a program  i could do it myself  
6,3,Client: ,I’m paying you everything right away so we don’t have hassles. I know how you women can get when anything is even a little late.,Sexist,i m paying you everything right away so we don t have hassles  i know how you women can get when anything is even a little late 
7,4,Client: ,(stopping mid-sentence) Wow! You smell amazing! It makes ,Sexist, stopping mid sentence  wow  you smell amazing  it makes 
8,5,Client: ,I look great! Is there any way you can make ,Sexist,i look great  is there any way you can make 
9,6,Client:, Why did you make my breasts so big?! I look like a bimbo!,Sexist, why did you make my breasts so big   i look like a bimbo 
10,7,Client:, Sorry for the confusion. The first draft is fine. My husband decided to answer my emails for me.,Sexist, sorry for the confusion  the first draft is fine  my husband decided to answer my emails for me 
11,8,Client:, It just stopped working.,Sexist, it just stopped working 
12,9,Client:," But you can still fix it, right?",Sexist, but you can still fix it  right 
13,10,Me:, So here is my quote for the cocktail gown that we discussed last week.,Sexist, so here is my quote for the cocktail gown that we discussed last week 
14,11,Client:," Thanks… I understand the lines for fabric and other material, but what is the last line about?",Sexist, thanks  i understand the lines for fabric and other material  but what is the last line about 
15,12,Me:, That’s for my design work and the time necessary to stitch and build the gown.,Sexist, that s for my design work and the time necessary to stitch and build the gown 
16,13,Client:, I don’t understand. How does that account for that sum of money?,Sexist, i don t understand  how does that account for that sum of money 
17,14,Me:," Based on our initial conversation and preliminary design, I estimated X hours of work.",Sexist, based on our initial conversation and preliminary design  i estimated x hours of work 
18,15,Client:, You charge money for drawing designs?,Sexist, you charge money for drawing designs 
19,16,Me:, Yes.,Sexist, yes 
20,17,Client:, I don’t get it. ,Sexist, i don t get it  
21,18,Client: ,"​And yes, my business is too important to me to discuss it in some, nasty, noisy, public, coffee shop…​",Sexist, and yes  my business is too important to me to discuss it in some  nasty  noisy  public  coffee shop  
22,19,Me:," Your artwork is currently set up using Pantone colors 1815C (Maroon) and 465C (Gold) as embedded in your logo. We print in CMYK, but we can color-match to those colors.",Sexist, your artwork is currently set up using pantone colors     c  maroon  and    c  gold  as embedded in your logo  we print in cmyk  but we can color match to those colors 
23,20,Client:, I would prefer to use ,Sexist, i would prefer to use 
24,0,Client:, Do you think we can meet?,Sexist, do you think we can meet 
25,1,Me:," Sure, I’m available after 6:00pm.",Sexist, sure  i m available after     pm 
26,2,Client:," Okay, come by to my house at 5:00pm.",Sexist, okay  come by to my house at     pm 
27,3,Me:, I said I’m available after 6:00pm.,Sexist, i said i m available after     pm 
28,4,Client:," Okay, well, why don’t you come to my house at 5:00pm, and then I’ll drive you home.",Sexist, okay  well  why don t you come to my house at     pm  and then i ll drive you home 
29,5,Me:," I think we better meet at a middle point, let’s say the coffee shop around the subway station. It’ll have to be after 6:00pm.",Sexist, i think we better meet at a middle point  let s say the coffee shop around the subway station  it ll have to be after     pm 
30,6,Client:," Okay, sounds good. I’ll pick you up at the coffee shop and we can come to my house.",Sexist, okay  sounds good  i ll pick you up at the coffee shop and we can come to my house 
31,7,Me:," Sorry, but I have to ask - why do you want me to come to your house?",Sexist, sorry  but i have to ask   why do you want me to come to your house 
32,8,Client:, … I’ll call you next week to ,Sexist,   i ll call you next week to 
33,9,Client:," We like the animation, but we’re afraid that the female character may make it seem like we’re talking down to women. Could you make it a male character?  A male who is goofy but loveable.",Sexist, we like the animation  but we re afraid that the female character may make it seem like we re talking down to women  could you make it a male character   a male who is goofy but loveable 
34,10,Me:, Aren’t you afraid that you will be making fun of men?,Sexist, aren t you afraid that you will be making fun of men 
35,11,Client:," No, ",Sexist, no  
36,12,Client: ,I need it to ,Sexist,i need it to 
37,13,Me:," To be clear, when you say arouse the customer’s attention -",Sexist, to be clear  when you say arouse the customer s attention  
38,14,Client: ,"I mean, if they got an erection, the ad is doing its job.",Sexist,i mean  if they got an erection  the ad is doing its job 
39,15,Me:, Got it. ,Sexist, got it  
40,16,Client:," But while I have you here, any interest in hearing about a sort of side project?",Sexist, but while i have you here  any interest in hearing about a sort of side project 
41,17,Me:, Of course. ,Sexist, of course  
42,18,Cilent: ,"Obviously it’s a risqué project, but is there any way you can ",Sexist,obviously it s a risqu  project  but is there any way you can 
43,19,Client:, ,Sexist, 
44,20,Client:," I want Sasha Grey. Do you know her, Sasha Grey? ",Sexist, i want sasha grey  do you know her  sasha grey  
45,21,Me:," Wait, are you serious?",Sexist, wait  are you serious 
46,22,Client:, Don’t argue with me. I want her for this project.,Sexist, don t argue with me  i want her for this project 
47,23,Me:," I don’t think she’s a good pick for this. There’s this really great girl with Ford Models you should look at, why don’t I show you her portfolio?",Sexist, i don t think she s a good pick for this  there s this really great girl with ford models you should look at  why don t i show you her portfolio 
48,24,Client:," No, I want Sasha.",Sexist, no  i want sasha 
49,25,Me:, What if she’s out of our budget?,Sexist, what if she s out of our budget 
50,26,Client:, I’ll pay for it. Don’t forget to get her ’,Sexist, i ll pay for it  don t forget to get her  
51,0,Client: ,"This is good, I just can’t believe you let this guy’s a** ",Sexist,this is good  i just can t believe you let this guy s a   
52,1,Me:, Excuse me?,Sexist, excuse me 
53,2,Client:, That guys a**! It’s all people will look at!,Sexist, that guys a    it s all people will look at 
54,3,Me: ,Would you like me to replace the shot?,Sexist,would you like me to replace the shot 
55,4,Client:, No… I like it. But can you make it smaller?,Sexist, no  i like it  but can you make it smaller 
56,5,Me: ,Make what smaller?,Sexist,make what smaller 
57,6,Client,: That guy’s a**!,Sexist,  that guy s a   
58,7,Me: ,"I can cut the clip’s duration a little shorter, and add in another clip. Though I would really suggest just replacing it.",Sexist,i can cut the clip s duration a little shorter  and add in another clip  though i would really suggest just replacing it 
59,8,Client: ,"No, nevermind. I’ll call him about his a** and we’ll see what we can work out. ",Sexist,no  nevermind  i ll call him about his a   and we ll see what we can work out  
60,9,Client:, ,Sexist, 
61,10,Me:," Why your website? Are you sure the students will be able to read it, let alone be taking note of it while they’re… you know.",Sexist, why your website  are you sure the students will be able to read it  let alone be taking note of it while they re  you know 
62,11,Client:," Right, don’t put my website on, it’s too big. I always have this problem with condoms!",Sexist, right  don t put my website on  it s too big  i always have this problem with condoms 
0,0,Client:, Can you design birthday tags? For candies?,Cryptic, can you design birthday tags  for candies 
1,1,Me:, Sure! What's the theme?,Cryptic, sure  what s the theme 
2,2,Client:," Like this one. I want 50 tags, how much is it?",Cryptic, like this one  i want    tags  how much is it 
3,3,Me:, What's the tag size?,Cryptic, what s the tag size 
4,4,Client:," I don't know, make it like the one in the picture.",Cryptic, i don t know  make it like the one in the picture 
5,5,Me:," Sure, but I can't tell the size from the picture, can you measure it?",Cryptic, sure  but i can t tell the size from the picture  can you measure it 
6,6,Client:," Oh, it's small.",Cryptic, oh  it s small 
7,7,Me:, ... Okay. 3cm?,Cryptic,     okay   cm 
8,8,Client:, I don't know. Like the size of a fridge magnet.,Cryptic, i don t know  like the size of a fridge magnet 
9,9,Me:, ...,Cryptic,    
10,10,Client: ,I am looking for a simple but complex site. ,Cryptic,i am looking for a simple but complex site  
11,11,Client: ,We need to reselect the bathroom floors.,Cryptic,we need to reselect the bathroom floors 
12,12,Me: ,Why?,Cryptic,why 
13,13,Client: ,We're installing next week and it won't be here for four weeks.,Cryptic,we re installing next week and it won t be here for four weeks 
14,14,Client: ,We also need to reselect the foyer material.,Cryptic,we also need to reselect the foyer material 
15,15,Me: ,"Ok, why?",Cryptic,ok  why 
16,16,Client: ,"There's only six pieces in the country, we need seven, and it won't be here for six weeks. We also need to reselect the kitchen counters, they won't be here for eight weeks.",Cryptic,there s only six pieces in the country  we need seven  and it won t be here for six weeks  we also need to reselect the kitchen counters  they won t be here for eight weeks 
17,17,Me: ,We specified these six months ago. Why will they not be there for eight weeks?,Cryptic,we specified these six months ago  why will they not be there for eight weeks 
18,18,Client:, I need a banner with my podcast logo on it and a caricature of me in the lower left. Gonna use it for my [streaming service] videos.,Cryptic, i need a banner with my podcast logo on it and a caricature of me in the lower left  gonna use it for my  streaming service  videos 
